"자료명","저자","출판사","출판년도","소장처","ISBN","카카오제목","카카오작가","카카오번역자","카카오ISBN","카카오출판사","카카오출간일","카카오썸네일","카카오URL","책소개"
"한국문화대사전. 8: 체지~힘줌도움줄기","신기철","한국문화대사전간행위원회","2008","자료실","9788987087177 ","","","","","","","","",""
"한국문화대사전. 7: ㅈ~체조경기","신기철","한국문화대사전간행위원회","2008","자료실","9788987087160 ","","","","","","","","",""
"한국문화대사전. 6: 연시계~잎숟가락","신기철","한국문화대사전간행위원회","2008","자료실","9788987087153 ","","","","","","","","",""
"한국문화대사전. 5: 석장생~연시","신기철","한국ㅁㄴ화대사전간행위원회","2008","자료실","9788987087146 ","","","","","","","","",""
"한국문화대사전. 2: 교시~다카마쓰총","신기철","한국문화대사전간행위원회","2008","자료실","9788987087115 ","","","","","","","","",""
"한국문화대사전. 1: ㄱ~교술민요","신기철","한국문화대사전간행위원회","2008","자료실","9788987087108 ","","","","","","","","",""
"푸른학교 바른교육","최규호","두인","2004","자료실","8995115939 ","","","","","","","","",""
"(8개 국어로 엮은)반만년의 숨결!","오교성 ; 배점모 ; 장영 [공저]","아사히","2003","자료실","8979100329 ","","","","","","","","",""
"한시로스승찾고묵향으로벗을삼아","김홍광[글]","이화문화출판사","2005","자료실","8981454345 ","","","","","","","","",""
"(20세기)중국 조선족문학사료전집. 23: 김용식 문학편","김용식 지음;김정옥 편","중국조선민족문화예술출판사","2002","자료실","8990375029 ","","","","","","","","",""
"(20세기)중국 조선족문학사료전집. 20: 김학철 문학편 중","김학철 지음;박시형 펴냄","중국조선민족문화예술출판사","2002","자료실","8989146089 ","","","","","","","","",""
"(20세기)중국 조선족문학사료전집. 19: 김학철 문학편 상","김학철 지음;박시형 펴냄","숨","2002","자료실","8989146070 ","","","","","","","","",""
"(20세기)중국 조선족문학사료전집. 3","김창걸 지음;권철 김정옥 편","중국조선민족문화예술출판사","2002","자료실","8990375061 ","","","","","","","","",""
"(20세기)중국 조선족문학사료전집. 2","리욱 지음;이상규 펴냄","중국조선민족문화예술출판사","2002","자료실","8990375010 ","","","","","","","","",""
"(20세기)중국 조선족문학사료전집. 6","최삼용 역;이상규 펴냄","중국조선민족문화예술출판사","2002","자료실","8990375037 ","","","","","","","","",""
"(20세기)중국 조선족문학사료선집. 4","심여추,심극주 지음;이상규 펴냄","중국조선민족문화예술출판사","2002","자료실","8990375037 ","","","","","","","","",""
"(20세기)중국 조선족역사자료집","심여추,심극주 지음;이상규 펴냄","중국조선민족문화예술출판사","2002","자료실","8990375037 ","","","","","","","","",""
"불멸의 지사 심여추 평전","류연산 저","중국조선민족문화예술","2002","자료실","8990375045 ","","","","","","","","",""
"모악에 머물다","송하진 지음","두인","2006","자료실","8995115947 ","","","","","","","","",""
"촛불이여 나 외롭지 않았네","양순영 지음","비앤엠","2007","자료실","9788960071001 ","","","","","","","","",""
"(새로운)한국식물도감. 2: 피자식물외","이영노","교학사","2005","자료실","8909118024 ","","","","","","","","",""
"(새로운)한국식물도감. 1: 양치식물외","이영노","교학사","2005","자료실","8909118016 ","","","","","","","","",""
"(2006) O.헨리 문학상 수상작품집","에드워드 P. 존스 [외 지음];로라 퍼먼 [편집]; 정연희 [옮김]","주한미국대사관 공보과","2006","자료실","9788960780101 ","","","","","","","","",""
"(2006) 미국 올해의 가장 좋은 시","킴 애도니지오 [지음];정규환;조영학[옮김];데이비드 르만 [편집];빌리 콜린스 [객원편집]","주한미국대사관 공보과","2006","자료실","9788960780118 ","","","","","","","","",""
"한국의 과학기술 이야기. 2: 삼국시대","이종호;박규태[지음]","집사재","2007","자료실","9788957751122 ","","","","","","","","",""
"(2006년 개정판) 교육법전 부록","교육법전편찬회 [편]","교학사","2006","자료실","8909108113 ","","","","","","","","",""
"(2005년 개정판) 교육법전","교육법전편찬회 [편]","교학사","2005","자료실","8909097661 ","","","","","","","","",""
"상명의 이름으로","상명대학교 홍보실 [편]","상명대학교","2006","자료실","8995683228 ","","","","","","","","",""
"전주 한지, 천년의 꿈","전주시 [편]","디자인 하우스","2005","자료실","8970419187 ","","","","","","","","",""
"경세유표Ⅰ. 015","정약용[지음];이익성[옮김]","한길사","1997","자료실","8935601900 ","","","","","","","","",""
"담원문록 중. 2","정인보 [지음];정양완 [옮김]","태학사","2006","자료실","8959660531 ","","","","","","","","",""
"담원문록 상. 1","정인보 [지음];정양완 [옮김]","태학사","2006","자료실","8959660523 ","","","","","","","","",""
"사료로 본 독도와 동해","한국학중앙연구원","집문당","2006","자료실","XXXXXXX","","","","","","","","",""
"기후가 미친 걸까?. 2","로베르 사두르니[지음];이수지[옮김]","민음in","2006","자료실","898273112X","","","","","","","","",""
"산굼부리의 식물","김문홍 [지음]","(주) 산굼부리","2005","자료실","카3262","","","","","","","","",""
