"자료명","저자","출판사","출판년도","소장처","ISBN","카카오제목","카카오작가","카카오번역자","카카오ISBN","카카오출판사","카카오출간일","카카오썸네일","카카오URL","책소개"
"내 안의 자유","채지민 저","사계절","2004","자료실","8971968524 ","내 안의 자유(사계절1318문고 11)","채지민","","9788971968529.0","사계절","2000-12-23","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F993405%3Ftimestamp%3D20221025130245","https://search.daum.net/search?w=bookpage&bookId=993405&q=%EB%82%B4+%EC%95%88%EC%9D%98+%EC%9E%90%EC%9C%A0%28%EC%82%AC%EA%B3%84%EC%A0%881318%EB%AC%B8%EA%B3%A0+11%29"," "
"뭐라고, 이게 다 유전자 때문이라고?","리사 시크라이스트 치우 지음;김소정 옮김","한얼미디어(한즈미디어)","2006","자료실","8991087442 ","뭐라고 이게 다 유전자 때문이라고","리사 시크라이스트 치우","김소정","9788991087446.0","한얼미디어","2006-08-31","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1334902%3Ftimestamp%3D20211104151724","https://search.daum.net/search?w=bookpage&bookId=1334902&q=%EB%AD%90%EB%9D%BC%EA%B3%A0+%EC%9D%B4%EA%B2%8C+%EB%8B%A4+%EC%9C%A0%EC%A0%84%EC%9E%90+%EB%95%8C%EB%AC%B8%EC%9D%B4%EB%9D%BC%EA%B3%A0"," "
"문화철학이란 무엇인가","랄프 콘너스만 지음;이상엽 옮김","북코리아","2006","자료실","8989316758 ","문화철학이란 무엇인가(양장본 HardCover)","랄프 콘너스만","이상엽","9788989316756.0","북코리아","2006-04-10","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1295510%3Ftimestamp%3D20220527194854","https://search.daum.net/search?w=bookpage&bookId=1295510&q=%EB%AC%B8%ED%99%94%EC%B2%A0%ED%95%99%EC%9D%B4%EB%9E%80+%EB%AC%B4%EC%97%87%EC%9D%B8%EA%B0%80%28%EC%96%91%EC%9E%A5%EB%B3%B8+HardCover%29"," "
"미국민중사. 1","하워드 진 지음;유강은 옮김","시울","2006","자료실","8995619791 ","미국민중사. 1(양장본 HardCover)","하워드 진","유강은","9788995619797.0","이후","2006-08-30","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1447706%3Ftimestamp%3D20200220131341","https://search.daum.net/search?w=bookpage&bookId=1447706&q=%EB%AF%B8%EA%B5%AD%EB%AF%BC%EC%A4%91%EC%82%AC.+1%28%EC%96%91%EC%9E%A5%EB%B3%B8+HardCover%29"," "
"미국민중사. 2","하워드 진 지음;유강은 옮김","시울","2006","자료실","8992325002 ","미국민중사 2(양장본 HardCover)","하워드 진","유강은","9788992325004.0","이후","2006-08-30","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1372351%3Ftimestamp%3D20220826212238","https://search.daum.net/search?w=bookpage&bookId=1372351&q=%EB%AF%B8%EA%B5%AD%EB%AF%BC%EC%A4%91%EC%82%AC+2%28%EC%96%91%EC%9E%A5%EB%B3%B8+HardCover%29"," "
"미켈란젤로의 복수","필리츠 반덴베르크 지음;안인희 옮김","한길사","2000","자료실","8935652431 ","미켈란젤로의 복수","필리프 반덴베르크","안인희","9788935652433.0","한길사","2000-06-20","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F524903%3Ftimestamp%3D20220829104035","https://search.daum.net/search?w=bookpage&bookId=524903&q=%EB%AF%B8%EC%BC%88%EB%9E%80%EC%A0%A4%EB%A1%9C%EC%9D%98+%EB%B3%B5%EC%88%98"," "
"(미술로 보는)우리 역사","전국역사교사모임 지음","푸른나무","2006","자료실","897414039X","미술로 보는 우리 역사(거꾸로 읽는 책 13)","전국역사교사모임","","9788974140397.0","푸른나무","2006-03-10","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1030873%3Ftimestamp%3D20190126124449","https://search.daum.net/search?w=bookpage&bookId=1030873&q=%EB%AF%B8%EC%88%A0%EB%A1%9C+%EB%B3%B4%EB%8A%94+%EC%9A%B0%EB%A6%AC+%EC%97%AD%EC%82%AC%28%EA%B1%B0%EA%BE%B8%EB%A1%9C+%EC%9D%BD%EB%8A%94+%EC%B1%85+13%29"," "
"문명의 창세기","데이비드 롤 지음;김석희 옮김","해냄","2001","자료실","897337365X","문명의 창세기","데이비드 롤","김석희","9788973373659.0","해냄출판사","2001-05-28","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1017983%3Ftimestamp%3D20190126113146","https://search.daum.net/search?w=bookpage&bookId=1017983&q=%EB%AC%B8%EB%AA%85%EC%9D%98+%EC%B0%BD%EC%84%B8%EA%B8%B0"," "
"달을 쫓다 달이 된 사람","미하엘 엔데 지음;박원영 옮김","노마드북스","2006","자료실","8991794181 ","달을 쫓다 달이 된 사람(2판)(어른을 위한 동화 2)(양장본 HardCover)","미하엘 엔데","박원영","9788991794184.0","노마드북스","2007-08-20","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1363440%3Ftimestamp%3D20221025114708","https://search.daum.net/search?w=bookpage&bookId=1363440&q=%EB%8B%AC%EC%9D%84+%EC%AB%93%EB%8B%A4+%EB%8B%AC%EC%9D%B4+%EB%90%9C+%EC%82%AC%EB%9E%8C%282%ED%8C%90%29%28%EC%96%B4%EB%A5%B8%EC%9D%84+%EC%9C%84%ED%95%9C+%EB%8F%99%ED%99%94+2%29%28%EC%96%91%EC%9E%A5%EB%B3%B8+HardCover%29"," "
"베일 속의 이슬람과 여성","오은경 지음","프로네시스(웅진씽크빅)","2006","자료실","8901057972 ","베일 속의 이슬람과 여성(지식 전람회 015)","오은경","","9788901057972.0","프로네시스","2006-08-15","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F345430%3Ftimestamp%3D20190122161618","https://search.daum.net/search?w=bookpage&bookId=345430&q=%EB%B2%A0%EC%9D%BC+%EC%86%8D%EC%9D%98+%EC%9D%B4%EC%8A%AC%EB%9E%8C%EA%B3%BC+%EC%97%AC%EC%84%B1%28%EC%A7%80%EC%8B%9D+%EC%A0%84%EB%9E%8C%ED%9A%8C+015%29"," "
