"자료명","저자","출판사","출판년도","소장처","제목","번역자","ISBN","출간일","썸네일","URL","책소개"
"달까지 가자","장류진","창비","2021","자료실","달까지 가자","","8936434497 9788936434496","2021-04-15","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F5640962%3Ftimestamp%3D20241031154814","https://search.daum.net/search?w=bookpage&bookId=5640962&q=%EB%8B%AC%EA%B9%8C%EC%A7%80+%EA%B0%80%EC%9E%90","첫 소설집 『일의 기쁨과 슬픔』(창비 2019)으로 평단의 주목과 독자의 환호를 동시에 받은 소설가 장류진이 첫 장편소설 『달까지 가자』를 야심차게 선보인다. “2020년대를 이끌어갈 한국문학의 얼굴”, 문단의 “대형 신인” 등의 찬사를 받은 장류진의 이번 작품은 생생한 인물 묘사와 속도감 있는 전개로 연재 당시(2020~21년 3월 창비 〈문학3〉 웹진과 ‘스위치’)부터 이삼십대 젊은 독자들의 열띤 호응을 얻었다. 특히 단순한 현실 반영이 아니라 작가적이고 개성적인 현실의 구축을 꿈꾼 ‘하이퍼 리얼리즘’이라 평가받는 장류진의 현실감 넘치는 배경 설정과 대사는 한층 더 구체적이고 섬세해졌다. 작품 속 소소한 소재까지 “다 내 얘기” 같게 그려내는 솜씨가 탁월한 장류진의 이번 작품은 최근 사회적 이슈인 ‘가상화폐’로 눈을 돌려 그 흡인력을 증폭하는데 작금의 사회현실과 세대를 작가 특유의 빼어난 감각으로 클로즈업하되, 결코 읽기에 만만한 세태소설에 그치지 않는다. 이름난 기업에 입사하고도 단칸방을 벗어날 수 없는 ‘흙수저 여성 3인방’의 ‘코인열차 탑승기’는 만성화된 저성장 국면과 세습 자본주의를 단숨에 관통하며 독자들을 이입시키는데, 이 작품을 읽는 동안 독자는 함께 코인열차의 ‘롤러코스터’를 오르내리며 이 주인공들을 응원하게 된다. 동시대, 동세대의 현실을 반영하되 새롭고 신선한 그만의 세계를 확장해가는 작가 장류진의 행보를 인정할 수밖에 없으며 다시 한번 독자들의 열광을 이끌어낼 것으로 믿는다."
"어떤 물질의 사랑","천선란","아작","2020","자료실","어떤 물질의 사랑","","1165508346 9791165508340","2020-07-20","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F5419821%3Ftimestamp%3D20240611143011","https://search.daum.net/search?w=bookpage&bookId=5419821&q=%EC%96%B4%EB%96%A4+%EB%AC%BC%EC%A7%88%EC%9D%98+%EC%82%AC%EB%9E%91","《천 개의 파랑》으로 제4회 한국과학문학상 장편소설 부문 대상을 받은, 천선란 작가의 첫 소설집『어떤 물질의 사랑』. 치매 어머니가 기억하는 유일한 단어인 ‘작가’, 그 기억을 현실로 만들기 위해 몇 년간 매일 4시간씩 어머니의 병실을 지키며 쓴 환상적이고도 우아한 소설들이다.    우주비행사가 된 딸의 이야기를 자전적으로 그린 〈사막으로〉에서 시작해, 지구의 바다 생물 멸종을 극복하기 위해 토성의 얼음위성 엔셀라두스로 날아간 탐험대가 만나게 된 외계생명과의 극적인 조우를 다룬 〈레시〉, 한때 과거를 함께 했으나 물리적으로, 정신적으로 상당한 거리가 생겨버린 2인의 얘기를 다룬 〈그림자놀이〉, 알에서 태어나 배꼽이 없는 소녀도 소년도 아닌 “어떤 외계인”의 ‘우주를 가로지른’ 사랑 이야기를 비롯 작가 천선란의 눈부신 등장을 알려줄 여덟 편을 수록했다."
"2021 김승옥문학상 수상작품집. 2021","문진영, 윤대녕, 안보윤, 진연주, 정용준, 정용준","문학동네","2021","자료실","김승옥문학상 수상작품집(2021)","","8954682529 9788954682527","2021-10-05","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F5853066%3Ftimestamp%3D20240615144212","https://search.daum.net/search?w=bookpage&bookId=5853066&q=%EA%B9%80%EC%8A%B9%EC%98%A5%EB%AC%B8%ED%95%99%EC%83%81+%EC%88%98%EC%83%81%EC%9E%91%ED%92%88%EC%A7%91%282021%29","김승옥문학상은 등단 후 10년이 넘은 작가들이 한 해 동안 발표한 단편소설 가운데 가장 뛰어난 7편을 뽑아 독자에게 선보인다. 오랜 작품 활동을 이어가며 한국문학의 중추로 남은 작가 중에서도 한 해 돌올하게 두드러지는 최고의 단편을 써낸 작가들의 쇼케이스다. 올해는 2020년 7월부터 2021년 6월까지 주요 문예지와 웹진, 독립문예지까지 포괄한 총 28개 문예지에서 100명의 작가가 발표한 184편이 심사 대상이 되었다. 이는 작년의 147편보다 약 25% 증가한 것으로 한국문학을 향한 독자들의 증폭되는 관심에 부응하는 열렬한 활기를 수확할 수 있었다. 작가의 정보를 지운 블라인드 심사는 언제나 김승옥문학상의 문학성을 보증하는 담보였지만, 올해 특히 블라인드 심사의 결과가 두드러졌다.  소설이 “단지 삶의 독특한 취향이나 스타일에 머물지 않고 어떻게 살아야 할 것인가 하는 윤리의 차원”(권희철)에 도달하여 대상으로 선정된 문진영 작가를 포함해 윤대녕, 손홍규, 안보윤, 진연주, 정용준, 황현진 작가가 2021 김승옥문학상에 새로 모습을 보였다. 더불어 이번 수상작품집은 세대를 아울러 한국문학뿐 아니라 한국 사회 전체를 그려 보인다는 데 주목할 만하다. 심사장의 열렬한 분위기를 그대로 증언한 심사평에서도 엿볼 수 있듯이, 다종다양한 삶과 인간 군상의 이야기가 생생하게 수록되었다. 세대와 정체성으로 나뉘어 균열을 이룬 색색깔의 단면을 보이면서 이 모든 것이 우리의 삶이기에 어떤 목소리도 지우지 않고 긍정하고자 한 결과다. 2020년대를 비추는 프리즘으로서 김승옥문학상은 스펙트럼으로 펼쳐진 한국 사회와 사람들을 독자가 세세히 살펴볼 수 있게 할 것이다."
"젊은작가상 수상작품집 10주년 특별판","편혜영, 김애란, 손보미, 이장욱, 황정은, 정지돈","문학동네","2019","자료실","젊은작가상 수상작품집 10주년 특별판","","8954655831 9788954655835","2019-04-05","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F4916194%3Ftimestamp%3D20250312130734","https://search.daum.net/search?w=bookpage&bookId=4916194&q=%EC%A0%8A%EC%9D%80%EC%9E%91%EA%B0%80%EC%83%81+%EC%88%98%EC%83%81%EC%9E%91%ED%92%88%EC%A7%91+10%EC%A3%BC%EB%85%84+%ED%8A%B9%EB%B3%84%ED%8C%90","한 해 동안 발표한 중단편소설 중 빛나는 성취를 보여준 작품에 수여하는 문학동네 젊은작가상. 2010년 제정된 ‘젊은작가상’은 열정과 패기로 충만한 한국 문단의 젊은 작가들을 대상으로, 등단 십 년 이내의 작가들로 제한하여 그동안 집중적으로 조명되지 않은 개성에 주목해 매해 일곱 편의 수상작을 선정해왔다. 『젊은작가상 수상작품집 10주년 특별판』은 올해로 10주년을 맞이한 젊은작가상의 성취와 취지를 알리고, 그동안의 수상작을 새로이 조명하기 위해 선보이는 작품집으로, 젊은작가상 10년의 풍성한 결실을 만나볼 수 있다.  1회부터 10회까지 총 43명의 역대 수상 작가에게 1회부터 9회까지의 63편의 수상작 가운데 가장 좋아하는 작품 3편을 추천받아 가장 많은 추천을 받은 7편의 작품을 묶었다. 독보적인 스타일로 믿고 읽는 작가로 자리매김한 편혜영, 김애란, 이장욱, 황정은부터 한국문학의 새로운 아이콘으로 떠오른 손보미, 정지돈, 강화길까지 한 번에 만나보기 어려운 7명의 작가들의 작품이 소설 읽기의 즐거움을 선사해준다."
"그 여름의 끝 우리는","권재원","서유재","2021","자료실","그 여름의 끝, 우리는: 두 교사 이야기(함께교육 6)","","1189034530 9791189034535","2021-09-27","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F5845356%3Ftimestamp%3D20221011183956","https://search.daum.net/search?w=bookpage&bookId=5845356&q=%EA%B7%B8+%EC%97%AC%EB%A6%84%EC%9D%98+%EB%81%9D%2C+%EC%9A%B0%EB%A6%AC%EB%8A%94%3A+%EB%91%90+%EA%B5%90%EC%82%AC+%EC%9D%B4%EC%95%BC%EA%B8%B0%28%ED%95%A8%EA%BB%98%EA%B5%90%EC%9C%A1+6%29","전작 『명진이의 수학여행』에서 “교육의 마지막은 이야기 만들기라고 믿으며, 그것을 실천하기 위해 교육으로 소설을 쓴다”고 했던 권재원 작가의 두 번째 교육소설이 출간되었다. 『명진이의 수학여행』이 공립 중학교 사회교사 권오석을 중심으로 학교라는 공간에서 일어나는 다양한 일들을 담아낸 연작 단편소설집이었다면 『그 여름의 끝, 우리는』은 권오석의 두 제자를 주인공으로 내세운 장편소설로, 여성 교사 와니와 써니가 서로 지지하고 위무하며 함께 성장해 가는 작품이다. 독자도 출판 시장도 날로 세분화되어 가는 현실 속에서 독보적 스토리텔러로 ‘교육소설’이라는 장르를 우직하게 밀고 가는 저자의 뚝심이 느껴진다."
"가해자들","정소현","현대문학","2020","자료실","가해자들","","1190885360 9791190885362","2020-10-25","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F5499888%3Ftimestamp%3D20250404151733","https://search.daum.net/search?w=bookpage&bookId=5499888&q=%EA%B0%80%ED%95%B4%EC%9E%90%EB%93%A4","이 책에 대하여    당대 한국 문학의 가장 현대적이면서도 첨예한 작가들을 선정, 신작 시와 소설을 수록하는 월간 『현대문학』의 특집 지면 〈현대문학 핀 시리즈〉의 서른한 번째 소설선, 정소현의 『가해자들』이 출간되었다. 2008년 「양장 제본서 전기」로 등단 이후 밀도 높은 문장과 구성으로 자신만의 소설 세계를 확실하게 구축해낸 작가의 이번 신작은 2020년 『현대문학』 1월호에 발표한 소설을 퇴고해 내놓은 것이다. ‘층간소음’이라는 소재를 통해 현대를 살아가는 구성원들의 좀처럼 사라지지 않는 고통을 내밀하게 그려낸 소설이다.    어디서부터 시작된 고통인가?  당신도 언제든 가해자가 될 수 있다!    비정상적인 부모 아래 상처 입고 자라난 아이를 통해 가족이라는 불운의 근원을 들여다본 첫 단편집 『실수하는 인간』. 폭발 사고로 친구를 잃고 홀로 살아남은 화자 등 다양한 죽음 앞에서 삶을 둘러싼 현실 세계를 생생하게 목도하는 인물들을 그린 소설집 『품위 있는 삶』. 등단 이후 꾸준히 삶의 어둡고 적나라한 민얼굴을 정면으로 마주하고 친숙한 소재들에 기발한 상상력을 입혀 사회와 인간의 문제를 통찰력 있게 풀어왔던 정소현이 신작 『가해자들』을 내놓았다. 현대인이라면 피할 수 없는 ‘층간소음’이라는 키워드 아래, 이웃 주민들이 가진 각자의 아픔과 고통들이 아파트 단지를 넘어 현실 세계까지 점점 확장되고 있다.    이 소설은 아파트 층간소음에서 시작한다. 혹자는 층간소음을 이웃끼리 서로 이해하고 참으면 될 일이라 쉽게 이야기하지만 천장과 바닥과 벽을 공유하는 공동주택의 경우, 이 문제는 그리 간단치가 않다. 단순한 소음으로 시작한 문제는 서로의 감정을 상하게 만들고 심각한 갈등을 가져오게 마련이다.  평화로워 보이던 아파트에 살인사건이 발생한다. 주민들은 일제히 1111호 여자를 용의자로 확신하고, 드디어 터질 게 터졌다 말한다. 힘들게 재혼가정을 꾸린 1111호 여자는 순조롭게 안정적인 가정을 만들어가고 있는 듯 보였으나 절대적인 신뢰를 할 수 없다 끊임없이 말하는 시어머니의 날선 이야기에 결국 마음의 병이 깊어만 간다. 게다 시어머니와 절친한 사이이던 1211호에서 끊임없이 들려오는 소음은 몸과 마음이 지친 여자를 더 견딜 수 없게 만든다. 그렇게 소리에 집착하게 된 1111호 여자는 이웃들과 계속 불화를 일으키고 결국에는 시어머니와 남편, 아들까지 모두 떠나보내고, 결국에는 마지막까지 곁을 지켜주던 딸마저도 잃게 된다.  1112호 여자는 오래 거주한 자신의 집에서 언제부터인가 미세한 소음을 감지하고, 그 소리가 1111호에서 들려오는 것이란 걸 알게 된다. 처음에는 자신의 집을 위협하는 소리가 아닌 것을 알고 크게 신경 쓰지 않았으나 결국 그 화살은 서로를 겨냥하게 되고 1112호는 평온하던 일상을 잃고 그녀의 삶은 의도치 않게 파국으로 치닫는다. ...   아파트라는 콘크리트 벽을 사이에 둔 주거 공간 속에서 현대인들의 고독한 외침이 전염병처럼 퍼져 나가, 층간소음으로 발전된 세계에서 가해자이며 피해자인 여러 화자들이 정신적으로 파멸되어가는 섬뜩한 과정을 그린 소설이다.    증상-원인에 대해, 만약 타당한 대책을 제시함으로써 공존이라는 ‘목표’를 이룬다고 가정한다면, 문제는 해결되고 고통은 종결될 것인가. (……) 이 소설은 그보다 먼저, 모든 구성원들이 일정한 의무와 책임 속에서 서로 이해와 배려를 공정하게 주고받기로 합의하고 또 실천한다면 각자의 고통은 실로 사라질 것인가를 더 오래 생각한 것 같다. (……) 윤리적 책임으로 완수될 법한 해결책에는 공정과 균형이 필요하지만 공정과 균형으로 고통을 사라지게 할 수는 없다. 고통은 편파적이고 고통은 부당한 것이다.  -백지은(문학평론가)"
"(2021 제12회) 젊은 작가상 수상작품집. 12","전하영, 김멜라, 김지연, 김혜진, 박서련, 서이제","문학동네","2021","자료실","제12회 젊은작가상 수상작품집(2021)",""," 2090000111118","2021-04-07","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F6048636%3Ftimestamp%3D20240711152647","https://search.daum.net/search?w=bookpage&bookId=6048636&q=%EC%A0%9C12%ED%9A%8C+%EC%A0%8A%EC%9D%80%EC%9E%91%EA%B0%80%EC%83%81+%EC%88%98%EC%83%81%EC%9E%91%ED%92%88%EC%A7%91%282021%29","수상작 대상 전하영 · 그녀는 조명등 아래서 많은 시간을 보냈다  김멜라 · 나뭇잎이 마르고  김지연 · 사랑하는 일  김혜진 · 목화맨션  박서련 · 당신 엄마가 당신보다 잘하는 게임  서이제 · 0%를 향하여  한정현 · 우리의 소원은 과학 소년"
"각자도생의 세계와 지정학","피터 자이한","김앤김북스","2021","자료실","각자도생의 세계와 지정학","홍지수","8989566827 9788989566823","2021-02-01","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F5587991%3Ftimestamp%3D20240114152631","https://search.daum.net/search?w=bookpage&bookId=5587991&q=%EA%B0%81%EC%9E%90%EB%8F%84%EC%83%9D%EC%9D%98+%EC%84%B8%EA%B3%84%EC%99%80+%EC%A7%80%EC%A0%95%ED%95%99","2021년 1월 미국의 바이든 대통령은 취임 일성으로 “미국이 돌아왔다’고 선언했다. 바이든 정부가 트럼프의 미국 우선주의를 폐기하고 다자주의 복원하고 동맹체제를 다시 주도하게 될 것이라는 전망이 제기되고 있다. 하지만 이 책은 냉전시대의 유산인 미국 주도의 동맹체제는 해체되고 미국이 구축하고 책임져온 세계질서는 머지않아 종말을 맞게 된다고 주장한다. 더 나아가 중국은 미국을 대신하기는커녕 추락과 붕괴의 기로에 놓이게 된다고 말한다. 한 세대 후가 아니라 바로 2020년대에 붕괴가 시작되고 2030년대가 되면 세계는 더 이상 우리가 알던 세계가 아닐 것이라고 말한다.    지정학, 에너지, 인구통계학 전문가인 피터 자이한은 이 같은 놀라운 예측들을 그의 세번 째 책 〈각자도생의 세계와 지정학Disunited Nations〉에서 펼쳐 보인다. 〈21세기 미국의 패권과 지정학〉, 〈셰일 혁명과 미국 없는 세계〉의 저자이기도 한 자이한은 지정학과 인구통계학에 기반해 국제 정세의 흐름을 분석하고 국가들의 부상과 몰락을 예측해왔다. 피터 자이한은 일관되게 미국이 세계질서에서 손을 떼게 된다고 말해 왔다. 사실 손을 떼는 데서 그치는 것이 아니라 적극적으로 세계질서를 허물게 된다고 말한다. 이 책은 미국이 손을 떼게 되면, 미국 없는 세계가 되면 구체적으로 어떤 일이 벌어질지, 어떤 국가가 부상하고 어떤 국가가 몰락할지를 다루고 있다.    피터 자이한은 러시아는 이미 국가적 쇠퇴 단계에 접어들었고 중국도 머지 않아 추락하게 된다고 말한다. 전략적 위협이 없는 세계에서 미국이 주도하는 동맹 체제는 약화되거나 해체된다. 미군은 유럽과 중동, 마지막에는 동아시아에서 철수하게 된다. 그 동맹 체제를 뒷받침하기 위해 허용된 시장접근은 제한을 받게 되고 에너지와 자원에 대한 접근, 안전한 해상운송도 보장되지 않게 된다. 이 와중에 인구 구조 문제와 자본 부족이 쓰나미처럼 국가들을 덮치게 된다. 세계는 상대적으로 안정되고 활력 있는 미국의 세계와, 국가들이 권력과 생존을 위해 각축해야 하는 미국 없는 세계로 나누어진다. 미국 없는 세계는 곧 각자도생의 세계가 된다. 질서의 시대에 미국의 그늘에 가려져 있던 일부 국가들은 지역의 강자로 부상하고 질서의 혜택을 누리던 일부 국가들은 몰락하게 된다.    지정학은 국제 정세와 국가들의 운명을 어디까지 규정하는 것일까? 인구구조의 문제가 어떻게 세계 경제를 뒤흔들어 놓을까? 머지 않아 세계가 미국의 세계와 미국 없는 세계로 나누어진다면 한국은 어디에 속하게 될까? 독자들은 이 책에서 피터 자이한의 전작들에서만큼이나 거대한 지적 도전에 직면하게 된다."
"한국의 능력주의","박권일","이데아","2021","자료실","한국의 능력주의","","1189143259 9791189143251","2021-09-13","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F5844627%3Ftimestamp%3D20240313155140","https://search.daum.net/search?w=bookpage&bookId=5844627&q=%ED%95%9C%EA%B5%AD%EC%9D%98+%EB%8A%A5%EB%A0%A5%EC%A3%BC%EC%9D%98","불편한 진실…한국인의 64.8% 불평등 찬성, 12.4%만 평등 찬성 시험, 보상, 능력, 무임승차, 개천 용, 억울하면 출세하라 능력에 따른 차별, 능력주의는 어떻게 우리의 삶을 망가뜨리는가  시험에 합격하지 않거나 일정한 조건에 부합하지 않은 사람들이 보상을 받는 것에 대해, 예컨대 비정규직이 정규직으로 전환하는 데 있어 한국인들은 유독 불편해한다. 자격이 없다, 불공정하다는 것이다. 자못 당연한 것처럼 보인다. 이 논리의 핵심에 능력주의(meritocracy)가 있다고 책은 말한다. 능력이 우월할수록 더 많은 몫을 가지고 능력이 모자랄수록 더 적은 몫을 가지는 것이 당연시되는 것. 이 룰이 깨지면 부정의하고, 불공정하며 사회의 효율을 떨어뜨리는 일로 비난받는다. 이 책은 이렇듯 ‘불평등은 참아도 불공정은 못 참는’ 한국 사회와 한국인에 대한 보고서다."
"지속가능한 여행을 하고 있습니다","홀리 터펜","한스미디어","2021","자료실","지속가능한 여행을 하고 있습니다","배지혜","1160076111 9791160076110","2021-06-10","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F5693973%3Ftimestamp%3D20221011191347","https://search.daum.net/search?w=bookpage&bookId=5693973&q=%EC%A7%80%EC%86%8D%EA%B0%80%EB%8A%A5%ED%95%9C+%EC%97%AC%ED%96%89%EC%9D%84+%ED%95%98%EA%B3%A0+%EC%9E%88%EC%8A%B5%EB%8B%88%EB%8B%A4","여행 횟수는 줄이고, 가까운 곳에서 느긋하게, 그리고 더 나은 방식으로… 우리에게 감동과 영감을 주었던 그 아름다운 풍경들이 모두 사라지기 전에 우리는 반드시 변해야 한다!  # 탄소발자국을 줄이면서 여행하는 법 # 환경보호를 하고 야생 동물의 서식지를 파괴하지 않으면서 여행하는 법 # ‘플라스틱 제로’ 여행 짐 싸는 법 # 친환경 여행 숙소와 이동 수단을 선택하는 법 # 여행자로서 지역 공동체와 현지인들의 삶에 선한 영향력을 미치는 법  《지속가능한 여행을 하고 있습니다》는 무분별한 여행 사업을 통해 지구 환경이 빠르게 파괴되며 기후위기를 앞당기게 되었다는 경고와 함께, 환경을 파괴하지 않으면서 지속가능한 방법으로 의미 있는 여행을 실행할 수 있도록 안내해주는 교양서다. 그동안 전 세계인들이 세계 곳곳을 여행하는 동안 지구 환경은 빠르게 파괴되어갔다. 관광 인프라 때문에 야생 동물의 서식지가 훼손되었고, 비행기가 나는 동안 엄청난 양의 탄소가 배출되었다. 전 세계 탄소 배출량의 8~12%가 관광 산업에 의해 발생되었다고 한다. 이 책의 저자는 ‘기후 위기 속에서 여행을 정당화할 수 있을까?’라는 질문을 출발점으로 탄소 발자국을 줄이면서 ‘지속가능한 여행’을 실천할 수 있는 방법에 대해 철저히 살펴보기 시작했다. 특히 코로나19로 세상이 멈춘 동안 그동안의 생활방식을 되돌아보게 된 우리들에게 저자는 충격적이면서 가장 실질적인 정보들을 알려준다. 앞으로 여행을 계획할 때 어느 곳으로, 언제, 어떤 방식으로 해야 하는지 세심히 알려주며 상세한 실천 가이드를 제공한다. 또한 거기서 더 나아가 단순한 ‘관광객’에서 그치는 것이 아니라 더 나은 세상을 만드는 데 어떻게 하면 여행자로서 선한 영향력을 미칠 수 있을지 길을 제시한다. 우리가 어떻게 여행하느냐에 따라 야생 동물 서식지가 이전보다 더 보호받을 수 있으며, 낙후된 지역과 소외된 현지인들이 더 나은 삶을 영위할 수 있게 될 것이다. 앞으로 여행의 기준이 될 ‘지속가능한 여행’에 대해 시급히 주목해야 하는 이유다."
"10대를 위한 깜찍한 민법","서윤호, 오혜진, 최정호","다른","2015","자료실","10대를 위한 깜찍한 민법","","1156330564 9791156330561","2015-10-23","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1563626%3Ftimestamp%3D20230402135110","https://search.daum.net/search?w=bookpage&bookId=1563626&q=10%EB%8C%80%EB%A5%BC+%EC%9C%84%ED%95%9C+%EA%B9%9C%EC%B0%8D%ED%95%9C+%EB%AF%BC%EB%B2%95","『10대를 위한 깜찍한 민법』은 재산 관계, 가족 관계를 맺고 살아가는 사람이라면 누구나 알아야 할 민법을 쉽고 재미있게 풀어 쓴 청소년 교양서입니다. 고등학생인 민호와 다솜이가 우연히 만나 사랑에 빠지고, 연애하고, 결혼하고, 이혼하는 과정을 통해 민법을 이야기합니다. 고등학생인 주인공의 일상을 소재로 하기에 민법을 처음 접하는 청소년 독자들도 부담 없이 쉽고 재미있게 볼 수 있습니다."
"고통에 이름을 붙이는 사람들","","포도밭출판사","2021","자료실","고통에 이름을 붙이는 사람들","","1188501208 9791188501205","2021-06-18","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F5743266%3Ftimestamp%3D20230721155922","https://search.daum.net/search?w=bookpage&bookId=5743266&q=%EA%B3%A0%ED%86%B5%EC%97%90+%EC%9D%B4%EB%A6%84%EC%9D%84+%EB%B6%99%EC%9D%B4%EB%8A%94+%EC%82%AC%EB%9E%8C%EB%93%A4","노동자는 다만 일이 위험해서 다치는 것이 아니다. 아무리 위험한 일도 안전한 방식으로 일하면 다치지 않는다. 우리가 안전보다 이윤을, 존중보다 차별을 선택할 때 그 노동의 현장에서 누군가 다치고 죽는다. 일하다 사람이 다치고 병들고 죽는 사회를 멈추려면 이제 우리는 무엇을 시작해야 할까.    지난 20여 년간 노동자의 고통을 찾아내고 분류하고 측정해서 이름을 붙여온 이들이 있다. 노동환경건강연구소 사람들이다. 이 책은 노동자가 겪는 고통을 멈추기 위해 고통의 현장을 조사하고, 고통에 이름을 붙여 세상에 알리는 일을 해온 이들이 전하는, 산재와 직업병 현장에 대한 기록이다."
"'좋아요' 살인시대","우원재","양문","2021","자료실","‘좋아요’ 살인시대","","8994025839 9788994025834","2021-06-25","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F5746867%3Ftimestamp%3D20241219144959","https://search.daum.net/search?w=bookpage&bookId=5746867&q=%E2%80%98%EC%A2%8B%EC%95%84%EC%9A%94%E2%80%99+%EC%82%B4%EC%9D%B8%EC%8B%9C%EB%8C%80","새로운 시대 정신의 부재를 고민하는 젊은이가 있다. 이 책의 저자 우원재가 바로 그이다. 젊은 논객 우원재는 그동안 언론에 기고했던 칼럼들부터 메모장에 써둔 신변잡기들까지, 일상을 살아오며 써온 글들을 한데 엮어 이 책을 만들었다. 이 글들은 시대, 세대, 정치, 사회 등을 다루는 거대 담론부터 일상 속 작은 깨달음에 이르기까지 다양한 종류의 사색을 담고 있다.   우원재는 이 책에서 가난과 투쟁했던 산업화 세대, 그런 산업화 세대의 기득권과 투쟁했던 민주화 세대, 민주화 세대의 승리로 87체제가 완성되었고, 그들이 이제 기득권이 되었지만 산업화, 민주화, 그리고 다음이 나와야 하는데, 여기서 시대 정신이 끊겼다고 갈파한다. 그런데 오늘날 청년 세대가 표방하는 가치와 철학이 없어서 청년들은 투쟁하지 않고 그 결과 정치적 신흥 세력으로 떠오르지 못했다고 안타까워한다.   그러나 우원재는, 청년들이 새로운 시대 정신의 주역으로 거듭나기를 포기하지 않는다. 청년들이 철학과 사유를 가지고 이 시대를 고민하는 데 도움을 되기를 소망하며 거대 담론은 물론 자신의 부끄러운 흑역사까지도 솔직하게 이 책에 털어놓았다. ‘꼰대’라는 말을 들어도 할 말은 해야 하는 우원재의 거침없는 글 안에 우리의 미래를 걱정하는 그의 진심이 담겨 있다. 그런 의미에서 이 책이, 새로운 시대 정신을 찾아가는 청년들에게 공감을 주고 더 나아가 삶의 이정표로서의 역할을 충실히 해주리라 기대해본다."
"질병은 어떻게 만들어지나?","수잔 E. 벨, 앤 E. 피거트","책방놀지","2021","자료실","질병은 어떻게 만들어지나?","이새롬","119663405X 9791196634056","2021-05-29","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F5751487%3Ftimestamp%3D20250227150548","https://search.daum.net/search?w=bookpage&bookId=5751487&q=%EC%A7%88%EB%B3%91%EC%9D%80+%EC%96%B4%EB%96%BB%EA%B2%8C+%EB%A7%8C%EB%93%A4%EC%96%B4%EC%A7%80%EB%82%98%3F","전주의 독립출판사이자 동네책방을 운영하는 〈책방놀지〉가 펴낸 두 번째 책이자 첫 번째 번역서 『질병은 어떻게 만들어지는가?』는 코로나 팬데믹을 겪으며 의료와 함께 삶을 살아갈 수밖에 없는 현대인이 관심을 가져야 할 의료인류학서이자 의료사회학서이다."
