자료명,저자,출판사,출판년도,소장처
(중학생이 알아야 할) 논술,성낙수 엮음,신원문화사,1996,자료실
인간문제,강경애 지음,신원문화사,2005,자료실
차라투스트라는 이렇게 말했다,니체,신원문화사,2005,자료실
종의 기원. 2,찰스 다윈 지음;박동현 옮김,신원문화사,2006,자료실
종의 기원. 1,찰스 다윈 지음;박동현 옮김,신원문화사,2006,자료실
제인 에어. 2,샬럿 브론테 지음;배영원 옮김,신원문화사,2005,자료실
제인 에어. 1,샬럿 브론테 지음;배영원 옮김,신원문화사,2005,자료실
백경. 2,허먼 멜빌 지음;현영민 옮김,신원문화사,2005,자료실
백경. 1,허먼 멜빌 지음;현영민 옮김,신원문화사,2005,자료실
젊은 예술가의 초상,제임스 조이스,신원문화사,2004,자료실
예브게니 오네긴,알렉산드르 푸슈킨 지음;이철 옮김,신원문화사,2006,자료실
사회계약론,장 자크 루소 지음;방곤 옮김,신원문화사,2006,자료실
갈매기,안톤 체호프 지음;동완 옮김,신원문화사,2003,자료실
고사신편,루쉰 지음;우인호 옮김,신원문화사,2006,자료실
파우스트,괴테 지음;김정진 옮김,신원문화사,2002,자료실
서유견문,유길준 [지음]; 구인환 [엮음],신원문화사,2005,자료실
다산 산문선,정약용 [지음] ;구인환 [엮음],신원문화사,2004,자료실
최생원전,이옥 [지음] ; 구인환 [엮음],신원문화사,2004,자료실
파한집,이인로 [지음] ; 구인환 [옮김],신원문화사,2002,자료실
창선감의록,구인환 [엮음],신원문화사,2002,자료실
한중록,혜경궁 홍씨 [지음];구인환 [엮음],신원문화사,2002,자료실
목민심서,정약용 지음;성낙수;임현옥;이승후 엮음,신원문화사,2005,자료실
심청전.장화홍련전,성낙수 [외엮음],신원문화사,2002,자료실
맥베스,윌리엄 셰익스피어 지음;김재남 옮김,신원문화사,2006,자료실
 한여름 밤의 꿈,셰익스피어 지음;김재남 옮김,신원문화사,2005,자료실
보물섬,스티븐슨 지음;성낙수 옮김,신원문화사,2004,자료실
사씨남정기,김만중 지음;성낙수;임현옥;이승후 [공]엮음,신원문화사,2004,자료실
리어왕,셰익스피어,신원,2002,자료실
삼국유사,일연 지음;성낙수,신원문화사,2004,자료실
탈무드,성낙수 편역;조현숙,신원문화사,2004,자료실
백범일지,김구,신원문화사,2003,자료실
양반전,성낙수 [외지음],신원문화사,2002,자료실
 난중일기,이순신;성낙수[엮음],신원문화사,2002,자료실
홍길동전.별주부전.장끼전,성낙수 [외지음],신원문화사,2002,자료실
"중학생이보는흥부전,옹고집전",성낙수 외[엮음],신원문화사,2002,자료실
오만과 편견,제인 오스틴 [지음];성기조 [옮김],신원문화사,2001,자료실
맹자,유의종;조현숙;전용근[엮음],신원,2001,자료실
허클베리핀의 모험,"트웨인, 마크",신원문화사,2001,자료실
햄릿,셰익스피어,신원문화사,2001,자료실
팡세,신원문화사,신원문화사,2001,자료실
(중학생이 보는)채근담,홍자성 지음,신원문화사,2001,자료실
중학생이 보는 구운몽,김만중,신원문화사,2001,자료실
(중학생이 보는)태평천하,채만식,신원문화사,2001,자료실
(중학생이 보는)님의 침묵,모파상 지음,신원문화사,2001,자료실
(중학생이 보는) 목걸이,모파상 지음;김용훈 옮김;성낙수;이은성;유상우 [같이] 엮음,신원문화사,2006,자료실
(중학생이 보는)변신,카프카,신원문화사,2001,자료실
(중학생이 보는)인형의 집,입센 지음;곽복록 옮김,신원문화사,2001,자료실
