자료명,저자,출판사,출판년도,소장처
마법의 비행,리처드 도킨스 지음; 야나 렌초바 그림; 이한음 옮김,을유문화사,2022,자료실
뉴턴의 법칙에서 아인슈타인의 상대론까지,"팡 리즈, 추 야오콴 지음; 이정호, 하배연 옮김",전파과학사,2022,자료실
뉴턴의 법칙에서 아인슈타인의 상대론까지,"팡 리즈, 추 야오콴 지음; 이정호, 하배연 옮김",전파과학사,2022,자료실
군중의 망상,윌리엄 번스타인 지음; 노윤기 옮김,포레스트북스,2023,자료실
세계사를 바꾼 13가지 식물,이나가키 히데히로 지음; 서수지 옮김,사람과나무사이,2019,자료실
세계사를 바꾼 13가지 식물,이나가키 히데히로 지음; 서수지 옮김,사람과나무사이,2019,자료실
동물이 만드는 지구 절반의 세계,장구 지음,21세기북스,2023,자료실
수학의 힘,올리버 존슨 지음; 노태복 옮김,더퀘스트,2024,자료실
깊은 시간으로부터,헬렌 고든 지음; 김정은 옮김,까치,2023,자료실
불로소득 자본주의 시대,브렛 크리스토퍼스 지음; 이병천 [외] 옮김,여문책,2024,자료실
(84인의 노벨상 수상자가 들려주는) 쓸모 있는 경제학,영주 닐슨 지음,러닝핏,2020,자료실
통계학과 공학을 위한 미적분학,나명환 지음,자유아카데미,2019,자료실
통계학과 공학을 위한 미적분학,나명환 지음,자유아카데미,2019,자료실
숫자는 어떻게 생각을 바꾸는가,폴 굿윈 지음; 신솔잎 옮김,한국경제신문,2023,자료실
뉴럴 링크,임창환 지음,동아시아,2024,자료실
제네시스,귀도 토넬리 지음; 김정훈 옮김,쌤앤파커스,2024,자료실
(홍성욱의) 그림으로 읽는 과학사,홍성욱,김영사,2023,자료실
과학을 보다,김범준 [외] 지음; 김지원 그림,알파미디어,2023,자료실
통계적 사고의 힘,"앨버트 러더퍼드, 김재현 지음; 박경은, 김형표 옮김",성균관대학교 출판부,2023,자료실
(이공계생을 위한) 확률과 통계,안승철 [외] 지음,한빛아카데미,2024,자료실
